URI,LabelIngles,LabelCastellano,LabelEuskera,ExactamenteIgual
science-technology,Science and technology,Ciencia y tecnología,Zientzia eta teknologia,ciencia-tecnologia
commerce,Commerce,Comercio,Merkataritza,comercio
culture-leisure,Culture and leisure,Cultura y ocio,Kultura eta aisialdia,cultura-ocio
demography,Demography,Demografía,Demografia,demografia
sports,Sports,Deporte,Kirola,deporte
economy,Economy,Economía,Ekonomia,economia
education,Education,Educación,Hezkuntza,educacion
employment,Employment,Empleo,Lana,empleo
energy,Energy,Energía,Energia,energia
treasury-department,Treasury Department,Hacienda,Ogasuna,hacienda
industry,Industry,Industria,Industria,industria
legislation-justice,Legislation and justice,Legislación y justicia,Araudia eta justizia,legislacion-justicia
enviroment,Environment,Medio ambiente,Ingurumena,medio-ambiente
rural-enviroment,Rural environment,Medio Rural,Landa-ingurunea,medio-rural
health,Health,Salud,Osasuna,salud
public-sector,Public sector,Sector público,Herri-administrazioa,sector-publico
security,Security,Seguridad,Segurtasuna,seguridad
society-welfare,Society and welfare,Sociedad y bienestar,Gizartea eta ongizatea,sociedad-bienestar
transport,Transport,Transporte,Garraioa,transporte
tourism,Tourism,Turismo,Turismoa,turismo
urbanism-infrastructure,Urbanism and infrastructures,Urbanismo e infraestructuras.,Hirigintza eta azpiegiturak,urbanismo-infraestructuras
housing,Housing,Vivienda,Etxebizitza,vivienda